district,central_heating_percentage,district_heating,district_heating_percentage,floor_heating,floor_heating_percentage,block_heating,block_heating_percentage,stove_heating,stove_heating_percentage,no_heating,no_heating_percentage,gas_energy,gas_energy_percentage,oil_energy,oil_energy_percentage,mixed_energy_sources,mixed_energy_sources_percentage,solar_energy,solar_energy_percentage,wood_pellets_energy,wood_pellets_energy_percentage,biomass_energy,biomass_energy_percentage,electric_energy,electric_energy_percentage,coal_energy,coal_energy_percentage,no_energy_source,no_energy_source_percentage,<1950,<1950_percentage,1950-1969,1950-1969_percentage,1970-1989,1970-1989_percentage,1990-2009,1990-2009_percentage,>2010,>2010_percentage,total_apartments,occupied_by_owner,occupied_by_owner_percentage,residentual_rental,residentual_rental_percentage,vacation_leisure_rental,vacation_leisure_rental_percentage,empty,empty_percentage,avarage_cold_rent_m2,avarage_living_space_m2_x,Unnamed: 51,vacancy_rate,employed,employed_percentage,unemployed,unemployed_percentage,not_working,not_working_percentage,labor_force,male_labor_force,female_labor_force,total_households,single_household,single_household_percentage,couples_without_children,couples_without_children_percentage,couples_with_children,couples_with_children_percentage,single_parents,single_parents_percentage,WG,WG_percentage,only_seniors,only_seniors_percentage,seniors_and_young_adults,seniors_and_young_adults_percentage,owner,owner_percentage,tenant,tenant_percentage,EUR_per_squared_meter,1_person_EUR_per_squared_meter,2_person_EUR_per_squared_meter,3_person_EUR_per_squared_meter,4_person_EUR_per_squared_meter,5_person_EUR_per_squared_meter,6_person_EUR_per_squared_meter,average_rooms,1_person_average_rooms,2_person_average_rooms,3_person_average_rooms,4_person_average_rooms,5_person_average_rooms,6_person_average_rooms,average_person_per_household,average_years_of_residence,avarage_living_space_m2_y,full_time_employees,median_income,total_population,men_population,men_population_percentage,women_population,women_population_percentage,single,single_percentage,couples,couples_percentage,widowed,widowed_percentage,divorced,divorced_percentage,other_civil_status,other_civil_status_percentage,average_age,<18,<18_percentage,18-29,18-29_percentage,30-49,30-49_percentage,50-64,50-64_percentage,>65,>65_percentage,<10,<10_percentage,10-19,10-19_percentage,20-29,20-29_percentage,30-39,30-39_percentage,40-49,40-49_percentage,50-59,50-59_percentage,60-69,60-69_percentage,70-79,70-79_percentage,>80,>80_percentage,district_min_rent_m2,district_avg_rent_m2,district_max_rent_m2,district_min_Buy_m2,district_avg_buy_m2
Charlottenburg-Wilmersdorf,45.4,8428.0,43.7,1828.0,9.5,161,0.8,91,0.5,11,0.1,7337.0,38.1,3148.0,16.3,8428.0,43.7,176.0,0.9,60,0.3,3,-,105,0.5,15,0.1,11,0.1,10545.0,54.7,5045.0,26.2,2090.0,10.8,882.0,4.6,719.0,3.7,194159.0,31643.0,16.3,157028.0,80.9,663,0.3,4821.0,2.5,8.43,77.7,,2.4,157160.0,51.1,13520.0,4.4,136880.0,44.5,170680.0,85750.0,84930.0,187477.0,120247.0,64.1,25457.0,13.6,22500.0,12.0,11882.0,6.3,7392.0,3.9,49968.0,26.7,10613.0,5.7,31398.0,16.7,156006.0,83.2,8.44,8.46,8.31,8.55,8.56,8.33,8.25,3.3,3.0,3.8,4.0,4.4,4.6,4.5,1.7,13.2,77.7,79654,4398,317079.0,150770.0,47.6,166238.0,52.4,162685.0,51.3,100977.0,31.9,18499.0,5.8,33622.0,10.6,1230.0,0.4,45.0,44463.0,14.0,45878.0,14.5,84811.0,26.8,67044.0,21.1,74816.0,23.6,25835.0,8.1,23348.0,7.4,41155.0,13.0,47036.0,14.8,37772.0,11.9,45909.0,14.5,39070.0,12.3,33657.0,10.6,23227.0,7.3,11.9675,16.9825,28.5675,3635.5,6172.25
Friedrichshain-Kreuzberg,40.8,4128.0,37.6,2016.0,18.4,207,1.9,147,1.3,3,-,6120.0,55.8,477.0,4.3,4128.0,37.6,35.0,0.3,44,0.4,35,0.3,83,0.8,55,0.5,3,-,6677.0,60.8,1844.0,16.8,1197.0,10.9,698.0,6.4,556.0,5.1,157555.0,13217.0,8.4,140960.0,89.5,199,0.1,3181.0,2.0,8.19,67.86,,1.9,151700.0,58.7,12760.0,4.9,94010.0,36.4,164470.0,86880.0,77590.0,153287.0,97888.0,63.9,15331.0,10.0,17855.0,11.6,12004.0,7.8,10212.0,6.7,17732.0,11.6,5108.0,3.3,13153.0,8.6,140111.0,91.4,8.27,8.43,8.18,8.02,7.66,7.26,7.68,3.1,2.8,3.5,3.7,4.0,4.1,4.1,1.7,11.8,67.86,73484,4526,264170.0,134035.0,50.8,130001.0,49.2,176057.0,66.7,60575.0,22.9,7386.0,2.8,18980.0,7.2,1031.0,0.4,38.3,41668.0,15.8,43274.0,16.4,105860.0,40.1,45261.0,17.1,27969.0,10.6,25570.0,9.7,19810.0,7.5,39556.0,15.0,62512.0,23.7,43350.0,16.4,32895.0,12.5,21132.0,8.0,11259.0,4.3,7947.0,3.0,14.17,16.73,29.185000000000002,3245.5,5253.5
Lichtenberg,43.6,7574.0,41.3,1854.0,10.1,311,1.7,544,3.0,58,0.3,9503.0,51.8,330.0,1.8,7574.0,41.3,563.0,3.1,75,0.4,8,-,191,1.0,43,0.2,58,0.3,6293.0,34.3,2012.0,11.0,3753.0,20.5,3140.0,17.1,3150.0,17.2,163232.0,10637.0,6.5,149897.0,91.8,61,0.0,2639.0,1.6,7.15,66.23,,1.6,137030.0,49.9,11370.0,4.1,126140.0,45.9,148400.0,77480.0,70920.0,159151.0,87517.0,55.0,28507.0,17.9,22364.0,14.1,13998.0,8.8,6762.0,4.2,35216.0,22.1,6663.0,4.2,10637.0,6.7,148503.0,93.3,7.1,7.35,6.68,6.9,6.91,6.68,7.04,3.4,2.9,3.7,4.1,4.4,4.6,4.6,1.8,14.1,66.23,80280,3613,290814.0,142883.0,49.2,147662.0,50.8,156038.0,53.7,89697.0,30.9,16704.0,5.7,26394.0,9.1,1709.0,0.6,41.8,51008.0,17.6,40028.0,13.8,90419.0,31.1,52386.0,18.0,56700.0,19.5,31366.0,10.8,24048.0,8.3,35622.0,12.3,54082.0,18.6,36336.0,12.5,34629.0,11.9,31927.0,11.0,22488.0,7.7,20039.0,6.9,9.588888888888889,13.2,21.69,3296.777777777778,3967.5555555555557
Marzahn-Hellersdorf,62.1,7411.0,22.6,3909.0,11.9,499,1.5,423,1.3,162,0.5,21209.0,64.7,1595.0,4.9,7411.0,22.6,1675.0,5.1,218,0.7,10,-,389,1.2,91,0.3,162,0.5,6904.0,21.1,1298.0,4.0,7740.0,23.6,12736.0,38.9,4082.0,12.5,140979.0,25563.0,18.1,113257.0,80.3,119,0.1,2036.0,1.4,6.29,72.72,,1.4,126110.0,48.0,10470.0,4.0,126050.0,48.0,136580.0,71210.0,65370.0,138234.0,65892.0,47.7,31850.0,23.0,22065.0,16.0,14321.0,10.4,4106.0,3.0,33619.0,24.3,8854.0,6.4,25563.0,18.5,112662.0,81.5,6.31,6.54,6.0,6.11,6.05,6.09,6.04,3.6,3.0,4.0,4.3,4.6,4.8,4.9,1.9,15.1,72.72,72606,3314,270010.0,132017.0,48.9,137991.0,51.1,126605.0,46.9,99564.0,36.9,15819.0,5.9,26895.0,10.0,1127.0,0.4,43.4,48900.0,18.1,30260.0,11.2,73473.0,27.2,58410.0,21.6,58966.0,21.8,28549.0,10.6,24728.0,9.2,25885.0,9.6,41214.0,15.3,32258.0,11.9,36825.0,13.6,40863.0,15.1,24091.0,8.9,15601.0,5.8,9.186,12.830000000000002,20.272,2678.4,3512.4
Mitte,39.0,6618.0,45.2,1902.0,13.0,229,1.6,161,1.1,13,0.1,6497.0,44.4,1110.0,7.6,6618.0,45.2,107.0,0.7,115,0.8,4,-,114,0.8,51,0.3,13,0.1,7492.0,51.2,2806.0,19.2,2097.0,14.3,1180.0,8.1,1051.0,7.2,211686.0,16107.0,7.6,190337.0,89.9,509,0.2,4736.0,2.2,8.3,66.91,,2.1,186360.0,53.9,18730.0,5.4,140570.0,40.7,205090.0,110580.0,94510.0,205002.0,131301.0,64.0,21302.0,10.4,25130.0,12.3,14416.0,7.0,12849.0,6.3,29794.0,14.5,8327.0,4.1,16074.0,7.8,188835.0,92.1,8.43,8.61,8.29,8.16,7.84,7.37,7.56,3.0,2.7,3.3,3.6,3.9,4.0,4.1,1.7,11.2,66.91,93275,4327,357322.0,182387.0,51.0,174931.0,49.0,220601.0,61.7,92491.0,25.9,13182.0,3.7,28702.0,8.0,2345.0,0.7,38.6,58113.0,16.3,69351.0,19.4,121889.0,34.1,61740.0,17.3,46229.0,12.9,34646.0,9.7,29294.0,8.2,63526.0,17.8,74888.0,21.0,46999.0,13.2,44286.0,12.4,30666.0,8.6,19092.0,5.3,13924.0,3.9,12.273333333333333,16.106666666666666,29.12,2804.0,4967.666666666667
Neukölln,63.7,5596.0,19.5,3684.0,12.9,318,1.1,711,2.5,81,0.3,14054.0,49.1,7636.0,26.7,5596.0,19.5,446.0,1.6,163,0.6,9,-,579,2.0,73,0.3,81,0.3,10382.0,36.3,5889.0,20.6,7803.0,27.2,3266.0,11.4,1290.0,4.5,167353.0,23799.0,14.2,139807.0,83.5,167,0.1,3577.0,2.1,7.4,69.82,,2.1,141930.0,47.6,15560.0,5.2,140580.0,47.2,157490.0,84110.0,73380.0,162764.0,93451.0,57.4,22703.0,13.9,24215.0,14.9,12446.0,7.6,9946.0,6.1,33202.0,20.4,8957.0,5.5,23779.0,14.6,138969.0,85.4,7.41,7.48,7.4,7.28,7.07,7.11,7.07,3.3,2.8,3.6,3.9,4.2,4.3,4.4,1.9,13.0,69.82,66456,3684,305405.0,150204.0,49.2,154818.0,50.8,166541.0,54.6,93961.0,30.8,16946.0,5.6,26528.0,8.7,1046.0,0.3,41.4,50826.0,16.7,44104.0,14.5,98245.0,32.2,57515.0,18.9,54334.0,17.8,29734.0,9.7,26052.0,8.5,39138.0,12.8,57772.0,18.9,40471.0,13.3,40047.0,13.1,31304.0,10.3,23386.0,7.7,17113.0,5.6,9.68,13.66,22.16,3061.5,3996.75
Pankow,58.3,8095.0,20.6,6519.0,16.6,909,2.3,710,1.8,181,0.5,26828.0,68.2,1609.0,4.1,8095.0,20.6,1633.0,4.2,309,0.8,4,-,454,1.2,227,0.6,181,0.5,17383.0,44.2,4016.0,10.2,2887.0,7.3,11121.0,28.3,3936.0,10.0,224212.0,35604.0,15.9,183936.0,82.0,381,0.2,4292.0,1.9,8.05,73.01,,1.9,221880.0,57.1,13710.0,3.5,152800.0,39.3,235590.0,118710.0,116880.0,218848.0,122955.0,56.2,33914.0,15.5,34065.0,15.6,19293.0,8.8,8620.0,3.9,37365.0,17.1,8303.0,3.8,35496.0,16.2,183282.0,83.7,8.05,8.06,7.86,8.19,8.39,7.98,8.3,3.4,3.0,3.7,4.0,4.4,4.7,4.5,1.8,13.4,73.01,114050,4424,400507.0,194348.0,48.5,206062.0,51.5,231392.0,57.8,117418.0,29.3,17643.0,4.4,32686.0,8.2,1274.0,0.3,40.8,72348.0,18.1,49501.0,12.4,136137.0,34.0,81843.0,20.4,60581.0,15.1,42014.0,10.5,36525.0,9.1,43309.0,10.8,73376.0,18.3,62760.0,15.7,61307.0,15.3,35841.0,9.0,22840.0,5.7,22431.0,5.6,10.796363636363637,14.030909090909091,22.812727272727273,3329.3636363636365,4171.181818181818
Reinickendorf,76.0,3026.0,8.5,4046.0,11.3,574,1.6,793,2.2,124,0.3,19263.0,53.9,11440.0,32.0,3026.0,8.5,881.0,2.5,250,0.7,3,-,695,1.9,32,0.1,124,0.3,14236.0,39.9,7604.0,21.3,8515.0,23.8,3823.0,10.7,1531.0,4.3,132678.0,29597.0,22.3,100158.0,75.5,200,0.2,2724.0,2.1,7.13,78.04,,2.0,107650.0,43.9,10670.0,4.4,126840.0,51.7,118320.0,62570.0,55750.0,128677.0,65714.0,51.1,25821.0,20.1,21710.0,16.9,11292.0,8.8,4145.0,3.2,35451.0,27.6,8592.0,6.7,29315.0,22.8,99341.0,77.2,7.2,7.32,7.03,7.09,7.02,6.8,6.92,3.7,3.1,4.0,4.3,4.6,4.8,4.9,1.9,14.0,78.04,54364,3656,252941.0,123026.0,48.6,129916.0,51.4,115412.0,45.6,93866.0,37.1,17763.0,7.0,24918.0,9.9,979.0,0.4,44.3,43997.0,17.4,33295.0,13.2,61597.0,24.4,54289.0,21.5,59762.0,23.6,24963.0,9.9,23643.0,9.3,28689.0,11.3,33071.0,13.1,28524.0,11.3,37275.0,14.7,30570.0,12.1,25916.0,10.2,20290.0,8.0,10.326666666666666,13.957777777777778,22.038888888888888,3469.4444444444443,4169.777777777777
Spandau,68.3,3822.0,13.2,3559.0,12.3,884,3.1,794,2.7,105,0.4,15445.0,53.4,7527.0,26.0,3822.0,13.2,979.0,3.4,255,0.9,5,-,764,2.6,42,0.1,105,0.4,8878.0,30.7,6102.0,21.1,6372.0,22.0,5231.0,18.1,2355.0,8.1,126796.0,22762.0,18.0,100828.0,79.5,179,0.1,3028.0,2.4,7.15,74.01,,2.2,102020.0,44.4,10430.0,4.5,117280.0,51.1,112450.0,59310.0,53140.0,121144.0,62696.0,51.8,22087.0,18.2,20414.0,16.9,11929.0,9.8,4017.0,3.3,30762.0,25.4,7797.0,6.4,22443.0,18.5,98687.0,81.5,7.17,7.23,7.05,7.15,7.15,7.05,7.05,3.5,2.9,3.8,4.0,4.4,4.5,4.7,1.9,13.1,74.01,54518,3512,237759.0,115185.0,48.4,122573.0,51.6,111666.0,47.0,85270.0,35.9,15946.0,6.7,23597.0,9.9,1276.0,0.5,43.0,44020.0,18.5,32257.0,13.6,60930.0,25.6,49334.0,20.7,51214.0,21.5,25092.0,10.6,23226.0,9.8,27950.0,11.8,33060.0,13.9,27867.0,11.7,33924.0,14.3,27685.0,11.6,21542.0,9.1,17403.0,7.3,10.1,13.336666666666666,21.436666666666667,3349.0,3916.5
Steglitz-Zehlendorf,73.3,6538.0,15.8,3564.0,8.6,522,1.3,341,0.8,96,0.2,21466.0,51.9,11714.0,28.3,6538.0,15.8,967.0,2.3,200,0.5,35,0.1,340,0.8,6,-,96,0.2,18108.0,43.8,9864.0,23.8,7434.0,18.0,4019.0,9.7,1939.0,4.7,162192.0,43225.0,26.7,114678.0,70.7,371,0.2,3919.0,2.4,8.01,85.95,,2.4,139990.0,48.9,8910.0,3.1,137370.0,48.0,148900.0,74210.0,74690.0,155286.0,82458.0,53.1,30370.0,19.6,25973.0,16.7,11554.0,7.4,4931.0,3.2,46169.0,29.7,10838.0,7.0,42413.0,27.3,112828.0,72.7,8.23,8.33,7.98,8.17,8.38,8.3,8.19,3.8,3.2,4.1,4.4,4.9,5.4,5.5,1.9,14.1,85.95,63689,4356,295130.0,137793.0,46.7,157329.0,53.3,133672.0,45.3,111516.0,37.8,20627.0,7.0,28419.0,9.6,883.0,0.3,46.1,47597.0,16.1,36074.0,12.2,69170.0,23.4,65574.0,22.2,76705.0,26.0,25872.0,8.8,26949.0,9.1,30857.0,10.5,34882.0,11.8,34287.0,11.6,45889.0,15.5,36135.0,12.2,33168.0,11.2,27082.0,9.2,12.067142857142857,16.101428571428574,24.895714285714284,3856.0,5703.571428571428
Tempelhof-Schöneberg,75.5,2491.0,8.5,3556.0,12.1,746,2.5,340,1.2,50,0.2,17778.0,60.5,8048.0,27.4,2491.0,8.5,480.0,1.6,112,0.4,7,-,384,1.3,30,0.1,50,0.2,11440.0,38.9,6957.0,23.7,7458.0,25.4,2386.0,8.1,1134.0,3.9,186619.0,31117.0,16.7,151992.0,81.4,314,0.2,3198.0,1.7,7.56,73.77,,1.7,160670.0,50.2,13560.0,4.2,145750.0,45.6,174220.0,89080.0,85140.0,182430.0,105778.0,58.0,28922.0,15.9,27241.0,14.9,13705.0,7.5,6781.0,3.7,45002.0,24.7,10767.0,5.9,31055.0,17.0,151345.0,83.0,7.58,7.65,7.41,7.61,7.61,7.39,7.35,3.4,2.9,3.8,4.0,4.3,4.4,4.3,1.8,13.7,73.77,78286,4031,331332.0,160416.0,48.4,170872.0,51.6,167587.0,50.6,111324.0,33.6,19599.0,5.9,31712.0,9.6,1067.0,0.3,43.7,53031.0,16.0,45852.0,13.8,90625.0,27.4,70700.0,21.3,71081.0,21.5,31122.0,9.4,27228.0,8.2,40533.0,12.2,50111.0,15.1,40513.0,12.2,48881.0,14.8,39757.0,12.0,30694.0,9.3,22444.0,6.8,11.661666666666667,14.773333333333333,23.458333333333332,3452.6666666666665,4489.333333333333
Treptow-Köpenick,65.8,5976.0,15.2,5842.0,14.9,709,1.8,700,1.8,192,0.5,28966.0,73.7,1807.0,4.6,5976.0,15.2,1299.0,3.3,368,0.9,29,0.1,442,1.1,219,0.6,192,0.5,16182.0,41.2,4933.0,12.6,3490.0,8.9,10784.0,27.4,3910.0,9.9,151369.0,28285.0,18.7,120301.0,79.5,246,0.2,2536.0,1.7,7.45,73.37,,1.7,139670.0,52.1,9070.0,3.4,119250.0,44.5,148740.0,77480.0,71260.0,148048.0,76944.0,52.0,30912.0,20.9,22552.0,15.2,12899.0,8.7,4739.0,3.2,35233.0,23.8,7711.0,5.2,28302.0,19.1,119720.0,80.9,7.63,7.74,7.35,7.67,7.65,7.53,7.69,3.5,3.1,3.8,4.1,4.5,4.7,4.5,1.8,15.1,73.37,77236,3870,275537.0,133941.0,48.6,141595.0,51.4,137414.0,49.9,93646.0,34.0,17954.0,6.5,25374.0,9.2,1150.0,0.4,43.8,45479.0,16.5,33778.0,12.3,80619.0,29.3,56576.0,20.5,59075.0,21.4,27583.0,10.0,21965.0,8.0,29713.0,10.8,45893.0,16.7,34729.0,12.6,39398.0,14.3,30655.0,11.1,21133.0,7.7,24470.0,8.9,10.475714285714286,13.327142857142857,20.87642857142857,3093.785714285714,3758.4285714285716
