Bezirk,Total,Privat,Private cars per 100 inhabitants
Mitte, 95 590, 71 760,18.1
Friedrichshain-Kreuzberg, 60 196, 50 147,17.1
Pankow, 121 013, 110 940,26.1
Charlottenburg-Wilmersdorf, 135 928, 96 143,28.0
Spandau, 88 508, 83 118,32.3
Steglitz-Zehlendorf, 121 445, 113 621,36.6
Tempelhof-Schöneberg, 122 165, 103 056,29.0
Neukölln, 93 298, 85 890,26.0
Treptow-Köpenick, 106 550, 96 803,32.9
Marzahn-Hellersdorf, 100 950, 94 915,32.5
Lichtenberg, 84 768, 79 716,25.6
Reinickendorf, 101 724, 92 071,34.3