district,total_population,men_population,men_population_percentage,women_population,women_population_percentage,single,single_percentage,couples,couples_percentage,widowed,widowed_percentage,divorced,divorced_percentage,other_civil_status,other_civil_status_percentage,average_age,<18,<18_percentage,18-29,18-29_percentage,30-49,30-49_percentage,50-64,50-64_percentage,>65,>65_percentage,<10,<10_percentage,10-19,10-19_percentage,20-29,20-29_percentage,30-39,30-39_percentage,40-49,40-49_percentage,50-59,50-59_percentage,60-69,60-69_percentage,70-79,70-79_percentage,>80,>80_percentage
Mitte, 357 322, 182 387,51.0, 174 931,49.0, 220 601,61.7, 92 491,25.9, 13 182,3.7, 28 702,8.0, 2 345,0.7,38.6, 58 113,16.3, 69 351,19.4, 121 889,34.1, 61 740,17.3, 46 229,12.9, 34 646,9.7, 29 294,8.2, 63 526,17.8, 74 888,21.0, 46 999,13.2, 44 286,12.4, 30 666,8.6, 19 092,5.3, 13 924,3.9
Friedrichshain-Kreuzberg, 264 170, 134 035,50.8, 130 001,49.2, 176 057,66.7, 60 575,22.9, 7 386,2.8, 18 980,7.2, 1 031,0.4,38.3, 41 668,15.8, 43 274,16.4, 105 860,40.1, 45 261,17.1, 27 969,10.6, 25 570,9.7, 19 810,7.5, 39 556,15.0, 62 512,23.7, 43 350,16.4, 32 895,12.5, 21 132,8.0, 11 259,4.3, 7 947,3.0
Pankow, 400 507, 194 348,48.5, 206 062,51.5, 231 392,57.8, 117 418,29.3, 17 643,4.4, 32 686,8.2, 1 274,0.3,40.8, 72 348,18.1, 49 501,12.4, 136 137,34.0, 81 843,20.4, 60 581,15.1, 42 014,10.5, 36 525,9.1, 43 309,10.8, 73 376,18.3, 62 760,15.7, 61 307,15.3, 35 841,9.0, 22 840,5.7, 22 431,5.6
Charlottenburg-Wilmersdorf, 317 079, 150 770,47.6, 166 238,52.4, 162 685,51.3, 100 977,31.9, 18 499,5.8, 33 622,10.6, 1 230,0.4,45.0, 44 463,14.0, 45 878,14.5, 84 811,26.8, 67 044,21.1, 74 816,23.6, 25 835,8.1, 23 348,7.4, 41 155,13.0, 47 036,14.8, 37 772,11.9, 45 909,14.5, 39 070,12.3, 33 657,10.6, 23 227,7.3
Spandau, 237 759, 115 185,48.4, 122 573,51.6, 111 666,47.0, 85 270,35.9, 15 946,6.7, 23 597,9.9, 1 276,0.5,43.0, 44 020,18.5, 32 257,13.6, 60 930,25.6, 49 334,20.7, 51 214,21.5, 25 092,10.6, 23 226,9.8, 27 950,11.8, 33 060,13.9, 27 867,11.7, 33 924,14.3, 27 685,11.6, 21 542,9.1, 17 403,7.3
Steglitz-Zehlendorf, 295 130, 137 793,46.7, 157 329,53.3, 133 672,45.3, 111 516,37.8, 20 627,7.0, 28 419,9.6,  883,0.3,46.1, 47 597,16.1, 36 074,12.2, 69 170,23.4, 65 574,22.2, 76 705,26.0, 25 872,8.8, 26 949,9.1, 30 857,10.5, 34 882,11.8, 34 287,11.6, 45 889,15.5, 36 135,12.2, 33 168,11.2, 27 082,9.2
Tempelhof-Schöneberg, 331 332, 160 416,48.4, 170 872,51.6, 167 587,50.6, 111 324,33.6, 19 599,5.9, 31 712,9.6, 1 067,0.3,43.7, 53 031,16.0, 45 852,13.8, 90 625,27.4, 70 700,21.3, 71 081,21.5, 31 122,9.4, 27 228,8.2, 40 533,12.2, 50 111,15.1, 40 513,12.2, 48 881,14.8, 39 757,12.0, 30 694,9.3, 22 444,6.8
Neukölln, 305 405, 150 204,49.2, 154 818,50.8, 166 541,54.6, 93 961,30.8, 16 946,5.6, 26 528,8.7, 1 046,0.3,41.4, 50 826,16.7, 44 104,14.5, 98 245,32.2, 57 515,18.9, 54 334,17.8, 29 734,9.7, 26 052,8.5, 39 138,12.8, 57 772,18.9, 40 471,13.3, 40 047,13.1, 31 304,10.3, 23 386,7.7, 17 113,5.6
Treptow-Köpenick, 275 537, 133 941,48.6, 141 595,51.4, 137 414,49.9, 93 646,34.0, 17 954,6.5, 25 374,9.2, 1 150,0.4,43.8, 45 479,16.5, 33 778,12.3, 80 619,29.3, 56 576,20.5, 59 075,21.4, 27 583,10.0, 21 965,8.0, 29 713,10.8, 45 893,16.7, 34 729,12.6, 39 398,14.3, 30 655,11.1, 21 133,7.7, 24 470,8.9
Marzahn-Hellersdorf, 270 010, 132 017,48.9, 137 991,51.1, 126 605,46.9, 99 564,36.9, 15 819,5.9, 26 895,10.0, 1 127,0.4,43.4, 48 900,18.1, 30 260,11.2, 73 473,27.2, 58 410,21.6, 58 966,21.8, 28 549,10.6, 24 728,9.2, 25 885,9.6, 41 214,15.3, 32 258,11.9, 36 825,13.6, 40 863,15.1, 24 091,8.9, 15 601,5.8
Lichtenberg, 290 814, 142 883,49.2, 147 662,50.8, 156 038,53.7, 89 697,30.9, 16 704,5.7, 26 394,9.1, 1 709,0.6,41.8, 51 008,17.6, 40 028,13.8, 90 419,31.1, 52 386,18.0, 56 700,19.5, 31 366,10.8, 24 048,8.3, 35 622,12.3, 54 082,18.6, 36 336,12.5, 34 629,11.9, 31 927,11.0, 22 488,7.7, 20 039,6.9
Reinickendorf, 252 941, 123 026,48.6, 129 916,51.4, 115 412,45.6, 93 866,37.1, 17 763,7.0, 24 918,9.9,  979,0.4,44.3, 43 997,17.4, 33 295,13.2, 61 597,24.4, 54 289,21.5, 59 762,23.6, 24 963,9.9, 23 643,9.3, 28 689,11.3, 33 071,13.1, 28 524,11.3, 37 275,14.7, 30 570,12.1, 25 916,10.2, 20 290,8.0