bezirk,ortsteil,subdistrict_population_age_0_5,subdistrict_population_age_5_10,subdistrict_population_age_10_15,subdistrict_population_age_15_20,subdistrict_population_age_20_25,subdistrict_population_age_25_30,subdistrict_population_age_30_35,subdistrict_population_age_35_40,subdistrict_population_age_40_45,subdistrict_population_age_45_50,subdistrict_population_age_50_55,subdistrict_population_age_55_60,subdistrict_population_age_60_65,subdistrict_population_age_65_70,subdistrict_population_age_70_75,subdistrict_population_age_75_80,subdistrict_population_age_80_85,subdistrict_population_age_85_90,subdistrict_population_age_90_95,subdistrict_population_age_95_plus,subdistrict_male_population,subdistrict_female_population,total_population,subdistrict_senior_population,subdistrict_youth_population,subdistrict_senior_share,subdistrict_youth_share,subdistrict_middle_age_population,Unnamed: 0,subdistrict_avg_mietspiegel_classification,subdistrict_total_full_time_employees,subdistrict_avg_median_income_eur,classification_category,alcohol,animal_training,antiques,art,bar,bathing_place,books,butcher,childcare,clothes,community_centre,confectionery,convenience,deli,dog_park,electronics,fitness_station,florist,fountain,games,garden,greenfield,greengrocer,hairdresser,ice_cream,kiosk,marina,nature_reserve,nightclub,parking,pitch,playground,restaurant,second_hand,stationery,supermarket,theatre,travel_agency,vacant,wine,yes,cafes,bakeries,green_space,schools,medical,k4_cluster
steglitz-zehlendorf,lankwitz,1952.0,1895.0,1662.0,1624.0,2270.0,2652.0,3014.0,2801.0,2602.0,2529.0,3160.0,3454.0,2774.0,2505.0,2407.0,2508.0,2161.0,1034.0,414.0,140.0,20651,22907,43558,11169.0,7133.0,0.2564167317140364,0.1637586666054456,0.579824601680518,69,2.1761658031088085,1600356.0,3715.0,moderate,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,21,0,0,14,0,0,0,0,0,4,0,220,43,8,2
lichtenberg,lichtenberg,2216.0,1733.0,1398.0,1234.0,2800.0,3962.0,5172.0,4293.0,3242.0,2177.0,2355.0,2418.0,1957.0,1451.0,1128.0,1375.0,1324.0,713.0,317.0,94.0,21274,20085,41359,6402.0,6581.0,0.1547909765710002,0.1591189342102081,0.6860900892187916,14,1.6689189189189189,1059828.0,3530.75,moderate,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,54,25,0,0,17,0,0,0,0,0,15,2,248,34,12,2
tempelhof-schoeneberg,lichtenrade,2507.0,2530.0,2523.0,2440.0,2488.0,2311.0,2655.0,3076.0,2980.0,2981.0,4034.0,4226.0,3348.0,3102.0,3034.0,3431.0,2845.0,1087.0,406.0,106.0,25080,27030,52110,14011.0,10000.0,0.2688735367491844,0.1919017463058913,0.5392247169449242,76,1.806201550387597,6564810.0,4147.066666666667,moderate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,0,0,13,0,0,0,0,0,7,0,117,44,11,2
steglitz-zehlendorf,lichterfelde,3576.0,3905.0,4160.0,4051.0,4438.0,4384.0,4873.0,5153.0,5020.0,5191.0,6631.0,6957.0,5372.0,4901.0,5021.0,5174.0,4259.0,1835.0,757.0,227.0,41185,44700,85885,22174.0,15692.0,0.2581824532805495,0.1827094370378995,0.5591081096815509,70,2.2670025188916876,7269467.0,4023.6,moderate,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,68,0,0,28,0,0,0,0,0,21,1,424,77,18,2
reinickendorf,luebars,211.0,254.0,287.0,253.0,197.0,169.0,209.0,300.0,281.0,332.0,441.0,447.0,412.0,374.0,324.0,325.0,229.0,81.0,34.0,,2552,2608,5160,,1005.0,,0.1947674418604651,,53,1.9473684210526316,0.0,4109.027777777778,moderate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,35,3,0,0
marzahn-hellersdorf,mahlsdorf,1348.0,1557.0,1349.0,1142.0,906.0,670.0,1575.0,1994.0,2084.0,1737.0,2531.0,3463.0,2641.0,2033.0,1441.0,1486.0,1137.0,456.0,164.0,43.0,14810,14947,29757,6760.0,5396.0,0.2271734381826124,0.1813354840877776,0.5914910777296098,22,2.374301675977654,6013326.0,4487.555555555556,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,10,0,0,0,0,0,7,0,179,24,8,0
lichtenberg,malchow,38.0,27.0,16.0,21.0,46.0,24.0,49.0,51.0,34.0,43.0,46.0,83.0,62.0,45.0,25.0,17.0,12.0,4.0,,,400,243,643,,102.0,,0.1586314152410575,,15,1.4,0.0,3575.7291666666665,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,19,4,0,0
tempelhof-schoeneberg,mariendorf,2458.0,2082.0,1935.0,1912.0,2747.0,3656.0,4018.0,3606.0,2978.0,2886.0,3641.0,3987.0,3292.0,2992.0,2683.0,2851.0,2641.0,1436.0,679.0,254.0,25283,27451,52734,13536.0,8387.0,0.2566844919786096,0.1590435013463799,0.5842720066750104,77,1.6009852216748768,3366146.0,3821.25,moderate,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,38,0,0,17,0,0,0,0,0,13,0,245,43,12,2
tempelhof-schoeneberg,marienfelde,1552.0,1588.0,1619.0,1540.0,1699.0,1719.0,1966.0,1982.0,1837.0,1867.0,2103.0,2312.0,1979.0,1839.0,1901.0,2017.0,1729.0,704.0,243.0,74.0,15629,16641,32270,8507.0,6299.0,0.2636194607995041,0.1951967771924388,0.5411837620080571,78,1.4305555555555556,401040.0,3824.5,affordable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16,0,0,14,0,0,0,0,0,3,0,172,33,5,0
marzahn-hellersdorf,marzahn,5515.0,5581.0,5397.0,4803.0,5308.0,5968.0,9089.0,8912.0,7303.0,5325.0,5729.0,7444.0,8511.0,9346.0,6244.0,4789.0,3706.0,1703.0,673.0,162.0,55701,55807,111508,26623.0,21296.0,0.2387541701043871,0.1909818129640922,0.5702640169315206,23,1.3089430894308942,5623560.0,3329.153846153846,affordable,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,291,31,0,0,38,0,0,0,0,0,18,0,1383,71,23,2
mitte,mitte,5225.0,4168.0,3617.0,2954.0,5454.0,9628.0,13154.0,10905.0,8735.0,7213.0,7330.0,6122.0,4388.0,3409.0,2605.0,2810.0,2707.0,1306.0,487.0,121.0,52070,50268,102338,13445.0,15964.0,0.1313783736246555,0.1559928863178878,0.7126287400574567,26,2.736559139784946,11260068.0,4507.533333333334,expensive,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,33,0,0,125,573,0,0,52,0,0,0,0,0,281,4,909,103,38,3
mitte,moabit,3913.0,3260.0,2932.0,2935.0,5888.0,9854.0,10258.0,7454.0,5618.0,4631.0,4972.0,5150.0,3960.0,3238.0,2575.0,1924.0,1491.0,650.0,259.0,59.0,42466,38555,81021,10196.0,13040.0,0.1258439170091704,0.1609459275990175,0.713210155391812,27,1.814102564102564,3372408.0,4541.909090909091,moderate,0,0,0,0,20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,90,127,0,0,38,0,0,0,0,0,86,0,438,74,15,2
reinickendorf,maerkisches viertel,2390.0,2699.0,2682.0,2560.0,2321.0,2438.0,2669.0,2456.0,2343.0,2259.0,2468.0,2445.0,2060.0,1816.0,1920.0,1952.0,1602.0,728.0,250.0,61.0,19497,20622,40119,8329.0,10331.0,0.2076073680799621,0.2575089109898053,0.5348837209302325,54,1.5357142857142858,241136.0,3270.0,moderate,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,70,7,0,0,7,0,0,0,0,0,5,0,21,27,4,2
treptow-koepenick,mueggelheim,250.0,332.0,331.0,272.0,192.0,139.0,358.0,411.0,448.0,404.0,602.0,847.0,549.0,501.0,363.0,354.0,332.0,135.0,40.0,7.0,3452,3415,6867,1732.0,1185.0,0.2522207659822338,0.1725644386194844,0.5752147953982817,90,1.5576923076923077,0.0,3955.6111111111113,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,0,0,0,0,0,2,0,55,5,1,0
lichtenberg,neu-hohenschoenhausen,3246.0,3126.0,2981.0,2493.0,2491.0,3090.0,4867.0,4653.0,3405.0,2622.0,3235.0,5008.0,5093.0,3812.0,2237.0,1884.0,1431.0,839.0,329.0,79.0,28129,28792,56921,10611.0,11846.0,0.1864162611338521,0.2081129987175208,0.605470740148627,16,1.2682926829268293,0.0,3575.7291666666665,affordable,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,9,0,0,14,0,0,0,0,0,0,0,191,40,11,2
neukoelln,neukoelln,8219.0,7366.0,6777.0,6231.0,8881.0,16856.0,23264.0,19444.0,14028.0,10033.0,9571.0,9616.0,7077.0,5381.0,4203.0,3363.0,2552.0,1167.0,456.0,151.0,84080,80556,164636,17273.0,28593.0,0.1049163002016569,0.1736740445589057,0.7214096552394373,33,1.147186147186147,4889808.0,3974.25,affordable,0,0,0,0,118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,163,219,0,1,68,0,0,0,0,0,187,4,801,136,36,1
treptow-koepenick,niederschoeneweide,733.0,543.0,490.0,435.0,899.0,1177.0,1513.0,1216.0,922.0,596.0,737.0,772.0,626.0,546.0,378.0,454.0,563.0,289.0,99.0,16.0,6672,6332,13004,2345.0,2201.0,0.1803291294986158,0.1692556136573362,0.650415256844048,91,1.7254901960784317,0.0,3955.6111111111113,moderate,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,14,0,0,6,0,0,0,0,0,4,2,74,20,3,0
pankow,niederschoenhausen,1588.0,1823.0,1791.0,1525.0,1383.0,1312.0,2164.0,2352.0,2396.0,2257.0,2833.0,2625.0,1727.0,1320.0,1084.0,1329.0,1514.0,679.0,281.0,54.0,15290,16747,32037,6261.0,6727.0,0.195430283734432,0.2099759652901333,0.5945937509754347,41,2.234042553191489,1116438.0,4609.75,moderate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,0,0,12,0,0,0,0,0,9,1,210,45,4,0
steglitz-zehlendorf,nikolassee,452.0,605.0,617.0,632.0,534.0,369.0,425.0,597.0,634.0,758.0,898.0,952.0,767.0,775.0,776.0,801.0,624.0,285.0,104.0,37.0,5662,5980,11642,3402.0,2306.0,0.292217831987631,0.1980759319704518,0.5097062360419172,71,2.849056603773585,277084.0,4189.0,expensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,18,0,0,6,0,0,0,0,0,6,0,115,21,7,0
treptow-koepenick,oberschoeneweide,1437.0,1122.0,875.0,868.0,1977.0,2336.0,3093.0,2407.0,1711.0,1204.0,1357.0,1418.0,980.0,718.0,476.0,515.0,553.0,392.0,164.0,35.0,12120,11518,23638,2853.0,4302.0,0.1206954903122091,0.1819950926474321,0.6973094170403588,92,1.5280898876404494,621665.0,4078.0,moderate,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,40,24,0,0,6,0,0,0,0,0,9,0,97,27,4,0
pankow,pankow,3666.0,3610.0,3231.0,2446.0,2675.0,3943.0,6406.0,6241.0,5758.0,4773.0,4885.0,4299.0,2989.0,2572.0,1875.0,2035.0,2160.0,1211.0,475.0,125.0,31187,34188,65375,10453.0,12953.0,0.1598929254302103,0.1981338432122371,0.6419732313575526,42,2.1023622047244093,902843.0,4315.0,moderate,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,39,0,0,20,0,0,0,0,0,24,0,164,72,16,2
treptow-koepenick,plaenterwald,537.0,455.0,328.0,276.0,544.0,798.0,1180.0,1035.0,873.0,628.0,775.0,833.0,573.0,443.0,355.0,575.0,643.0,332.0,104.0,12.0,5487,5812,11299,2464.0,1596.0,0.2180723957872378,0.1412514381803699,0.6406761660323923,93,1.837209302325581,0.0,3955.6111111111113,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,4,0,0,0,0,0,2,0,68,10,1,0
pankow,prenzlauer berg,8770.0,8049.0,7239.0,5684.0,7210.0,14085.0,20574.0,17872.0,15936.0,14165.0,13521.0,9806.0,5543.0,4227.0,3256.0,3557.0,3173.0,1566.0,630.0,192.0,82185,82870,165055,16601.0,29742.0,0.1005785950137832,0.1801944806276695,0.7192269243585472,43,2.401384083044982,9308401.0,4736.0,moderate,0,0,0,0,84,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,3,0,0,0,1,0,0,0,7,0,0,182,372,0,0,71,0,0,0,0,0,201,6,692,184,32,1
treptow-koepenick,rahnsdorf,427.0,467.0,437.0,416.0,316.0,266.0,490.0,543.0,591.0,595.0,858.0,976.0,743.0,689.0,519.0,616.0,513.0,277.0,97.0,20.0,4916,4940,9856,2731.0,1747.0,0.2770900974025974,0.177252435064935,0.5456574675324676,94,1.287769784172662,347222.0,4007.5,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,9,0,0,4,0,0,0,0,0,2,0,71,8,4,0
reinickendorf,reinickendorf,4406.0,3862.0,3455.0,3515.0,5536.0,7308.0,7746.0,6283.0,5097.0,4813.0,5707.0,6171.0,4825.0,3790.0,3275.0,3183.0,2906.0,1409.0,519.0,166.0,42251,41721,83972,15248.0,15238.0,0.1815843376363549,0.1814652503215357,0.6369504120421092,55,1.0847457627118644,2676240.0,3484.1111111111113,affordable,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,164,47,0,0,30,0,0,0,0,0,18,0,942,63,18,2
pankow,rosenthal,435.0,522.0,534.0,539.0,487.0,336.0,544.0,615.0,627.0,674.0,987.0,985.0,698.0,543.0,430.0,426.0,314.0,152.0,28.0,9.0,4841,5044,9885,1902.0,2030.0,0.1924127465857359,0.2053616590794132,0.6022255943348508,44,1.5635359116022098,1223379.0,4100.0,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,6,0,0,0,0,0,2,0,34,5,1,0
neukoelln,rudow,2029.0,2045.0,1857.0,2044.0,2154.0,2042.0,2163.0,2420.0,2375.0,2472.0,3352.0,3693.0,2926.0,2639.0,2499.0,2595.0,2060.0,918.0,287.0,61.0,20820,21811,42631,11059.0,7975.0,0.2594121648565597,0.1870704416973563,0.5535173934460839,34,1.6845878136200716,1551519.0,3989.25,moderate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,25,0,0,9,0,0,0,0,0,5,0,141,26,8,2
lichtenberg,rummelsburg,1792.0,1368.0,1009.0,847.0,1307.0,2420.0,3972.0,3395.0,2531.0,1577.0,1457.0,1243.0,876.0,610.0,358.0,384.0,305.0,168.0,69.0,9.0,13254,12443,25697,1903.0,5016.0,0.0740553371988948,0.1951978830213643,0.7307467797797408,17,1.941860465116279,276060.0,3692.0,moderate,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44,17,0,0,7,0,0,0,0,0,15,0,105,25,4,0
charlottenburg-wilmersdorf,schmargendorf,889.0,909.0,871.0,842.0,1162.0,1223.0,1393.0,1497.0,1366.0,1375.0,1701.0,1791.0,1402.0,1352.0,1408.0,1530.0,1138.0,546.0,227.0,111.0,10570,12163,22733,6312.0,3511.0,0.2776580301763955,0.1544450798398803,0.5678968899837241,4,2.846938775510204,709226.0,4548.0,expensive,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,19,0,0,9,0,0,0,0,0,11,0,210,18,10,0
treptow-koepenick,schmoeckwitz,218.0,212.0,181.0,172.0,126.0,101.0,196.0,288.0,278.0,284.0,402.0,417.0,344.0,307.0,255.0,288.0,244.0,89.0,27.0,13.0,2190,2252,4442,1223.0,783.0,0.2753264295362449,0.1762719495722647,0.5484016208914904,95,1.3012048192771084,0.0,3955.6111111111113,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,2,0,40,4,0,0
tempelhof-schoeneberg,schoeneberg,5594.0,4934.0,4505.0,4450.0,6844.0,10079.0,11565.0,10184.0,8669.0,7810.0,9474.0,9860.0,7785.0,6351.0,5357.0,4159.0,2963.0,1289.0,581.0,205.0,62089,60569,122658,20905.0,19483.0,0.1704332371308842,0.1588400267410197,0.670726736128096,79,2.054140127388535,10589336.0,4156.111111111111,moderate,1,0,0,0,61,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,143,220,0,0,55,0,0,0,0,0,148,6,857,143,35,1
spandau,siemensstadt,650.0,637.0,600.0,562.0,813.0,1036.0,1098.0,914.0,832.0,730.0,913.0,954.0,679.0,599.0,532.0,499.0,404.0,210.0,65.0,13.0,6445,6295,12740,2322.0,2449.0,0.1822605965463108,0.1922291993720565,0.6255102040816326,64,1.2545454545454546,145750.0,3290.0,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,7,0,0,0,0,0,1,0,48,12,3,0
spandau,spandau,2158.0,1906.0,1687.0,1679.0,2752.0,3272.0,3776.0,3075.0,2536.0,2281.0,2817.0,2842.0,2251.0,1865.0,1437.0,1373.0,1108.0,554.0,229.0,55.0,20086,19567,39653,6621.0,7430.0,0.1669734950697299,0.1873754823090308,0.6456510226212393,65,1.0628930817610065,3101295.0,3823.769230769231,affordable,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,42,0,0,24,0,0,0,0,0,22,2,209,39,16,2
spandau,staaken,2449.0,2648.0,2555.0,2416.0,2607.0,2668.0,2926.0,2830.0,2721.0,2626.0,3443.0,3722.0,2843.0,2338.0,2191.0,2276.0,1967.0,815.0,278.0,50.0,22595,23774,46369,9915.0,10068.0,0.2138282041881429,0.2171278224675968,0.5690439733442602,66,1.2719665271966527,3262589.0,3706.272727272727,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,15,0,0,9,0,0,0,0,0,3,0,158,27,4,2
pankow,stadtrandsiedlung malchow,35.0,40.0,45.0,50.0,24.0,24.0,25.0,40.0,81.0,74.0,101.0,121.0,104.0,83.0,71.0,64.0,86.0,40.0,9.0,3.0,552,568,1120,356.0,170.0,0.3178571428571428,0.1517857142857142,0.5303571428571429,45,1.9655172413793105,0.0,4091.331818181818,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,76,2,0,0
steglitz-zehlendorf,steglitz,3425.0,2998.0,2701.0,2694.0,4159.0,5480.0,6341.0,5582.0,4842.0,4366.0,5592.0,5877.0,4865.0,4244.0,3907.0,3671.0,2797.0,1261.0,567.0,209.0,35692,39886,75578,16656.0,11818.0,0.2203815925269258,0.1563682553123924,0.6232501521606817,72,2.3973799126637556,5307762.0,4400.538461538462,moderate,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,84,0,0,28,0,0,0,0,0,48,1,303,88,22,2
reinickendorf,tegel,1602.0,1391.0,1299.0,1365.0,1823.0,2294.0,2593.0,2348.0,2158.0,2122.0,2798.0,2984.0,2329.0,2134.0,2075.0,2269.0,1765.0,898.0,390.0,127.0,17829,18935,36764,9658.0,5657.0,0.2627026438907627,0.1538733543684038,0.5834240017408334,56,1.846774193548387,2106264.0,4257.5,moderate,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,58,43,0,0,14,0,0,0,0,0,19,0,192,34,11,2
tempelhof-schoeneberg,tempelhof,3162.0,2687.0,2441.0,2265.0,3663.0,5045.0,5752.0,4868.0,4043.0,3593.0,4291.0,4641.0,3578.0,3019.0,2590.0,2454.0,2165.0,960.0,398.0,154.0,29923,31846,61769,11740.0,10555.0,0.1900629765740096,0.170878596059512,0.6390584273664783,80,1.7307692307692308,2581800.0,3935.5,moderate,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,64,42,0,0,28,0,0,0,0,0,22,1,482,58,13,2
mitte,tiergarten,653.0,578.0,493.0,520.0,1075.0,1667.0,1585.0,1305.0,1097.0,869.0,960.0,1012.0,830.0,694.0,568.0,440.0,351.0,144.0,66.0,33.0,8068,6872,14940,2296.0,2244.0,0.1536813922356091,0.1502008032128514,0.6961178045515395,28,2.5520833333333335,370656.0,5239.25,expensive,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,64,0,0,4,0,0,0,0,0,32,1,609,18,4,0
reinickendorf,waidmannslust,685.0,665.0,651.0,617.0,611.0,609.0,704.0,696.0,637.0,649.0,795.0,743.0,627.0,564.0,520.0,581.0,427.0,211.0,78.0,18.0,5441,5647,11088,2399.0,2618.0,0.2163600288600288,0.2361111111111111,0.54752886002886,57,1.7450980392156863,0.0,4109.027777777778,moderate,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,0,0,6,0,0,0,0,0,2,0,45,16,4,0
steglitz-zehlendorf,wannsee,357.0,524.0,550.0,458.0,372.0,331.0,383.0,469.0,569.0,662.0,871.0,880.0,650.0,664.0,678.0,742.0,634.0,204.0,95.0,33.0,4962,5164,10126,3050.0,1889.0,0.3012048192771084,0.1865494765949042,0.5122457041279873,73,2.8941176470588235,796195.0,4546.8,expensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,23,0,0,4,0,0,0,0,0,6,0,275,7,4,0
lichtenberg,wartenberg,83.0,111.0,128.0,122.0,60.0,39.0,122.0,172.0,189.0,156.0,222.0,353.0,292.0,211.0,110.0,104.0,62.0,28.0,14.0,,1293,1285,2578,,444.0,,0.1722265321955003,,18,1.6756756756756757,0.0,3575.7291666666665,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,48,5,0,0
mitte,wedding,4018.0,3359.0,3207.0,3353.0,6423.0,10356.0,10724.0,7416.0,5658.0,4793.0,5179.0,5416.0,4099.0,3199.0,2524.0,2294.0,1860.0,896.0,374.0,127.0,44027,41248,85275,11274.0,13937.0,0.132207563764292,0.1634359425388449,0.704356493696863,29,1.09009009009009,1848816.0,3688.5,affordable,0,0,0,0,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,108,83,0,0,27,0,0,0,0,0,73,1,687,96,40,2
pankow,weissensee,3024.0,2843.0,2467.0,1970.0,2455.0,3509.0,5702.0,5322.0,4499.0,3615.0,4057.0,3872.0,2569.0,1982.0,1498.0,1880.0,2080.0,986.0,349.0,76.0,26841,27914,54755,8851.0,10304.0,0.1616473381426353,0.1881837275134691,0.6501689343438956,46,2.039325842696629,1573876.0,4098.8,moderate,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,79,39,0,0,19,0,0,0,0,0,20,0,209,53,14,2
charlottenburg-wilmersdorf,westend,1457.0,1578.0,1574.0,1606.0,2531.0,2717.0,2619.0,2413.0,2388.0,2362.0,2966.0,3225.0,2428.0,2280.0,2548.0,2841.0,2253.0,998.0,421.0,123.0,19911,21417,41328,11464.0,6215.0,0.2773906310491676,0.1503823073945025,0.5722270615563299,5,2.5757575757575757,1390389.0,4470.6,expensive,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,46,0,0,11,0,1,0,0,0,20,0,247,41,15,2
pankow,wilhelmsruh,409.0,365.0,355.0,314.0,343.0,406.0,626.0,653.0,518.0,522.0,649.0,644.0,484.0,409.0,350.0,420.0,434.0,179.0,33.0,10.0,3857,4266,8123,1835.0,1443.0,0.2259017604333374,0.1776437276868152,0.5964545118798473,47,2.0,59280.0,3895.5,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,2,0,0,0,0,0,4,0,8,12,1,0
spandau,wilhelmstadt,1807.0,1769.0,1745.0,1674.0,2230.0,2706.0,2891.0,2713.0,2315.0,2345.0,2848.0,3285.0,2593.0,2288.0,2073.0,2207.0,1832.0,781.0,289.0,72.0,19787,20676,40463,9542.0,6995.0,0.2358203791117811,0.1728739836393742,0.5913056372488447,67,1.5542857142857145,595700.0,4451.666666666667,moderate,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,30,0,0,13,0,0,0,0,0,9,0,198,30,11,2
charlottenburg-wilmersdorf,wilmersdorf,3957.0,3699.0,3599.0,3534.0,5174.0,7008.0,8202.0,7237.0,6365.0,6202.0,7656.0,8148.0,6665.0,6308.0,5920.0,5510.0,4065.0,1669.0,671.0,288.0,49306,52571,101877,24431.0,14789.0,0.2398087890299086,0.1451652482896041,0.6150259626804873,6,2.7344398340248963,7084436.0,4473.105263157895,expensive,1,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,168,0,0,33,0,0,0,0,0,75,4,388,123,34,2
reinickendorf,wittenau,952.0,923.0,831.0,969.0,1383.0,1506.0,1602.0,1431.0,1252.0,1332.0,1865.0,2142.0,1685.0,1459.0,1358.0,1654.0,1426.0,666.0,231.0,59.0,12430,12296,24726,6853.0,3675.0,0.2771576478201084,0.1486289735501092,0.5742133786297824,58,1.390728476821192,690674.0,4342.333333333333,affordable,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,21,0,0,10,0,0,0,0,0,1,0,236,24,4,0
steglitz-zehlendorf,zehlendorf,1927.0,2380.0,2505.0,2605.0,2581.0,2341.0,2653.0,2613.0,2892.0,3160.0,4344.0,4616.0,3532.0,3256.0,3313.0,3725.0,3324.0,1595.0,695.0,271.0,25041,29287,54328,16179.0,9417.0,0.2978022382565159,0.1733360329848328,0.5288617287586511,74,2.619047619047619,4642176.0,4601.222222222223,expensive,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,50,0,0,18,0,0,0,0,0,18,0,342,56,19,2
