Bezirk,Libraries,visits,borrowings
Mitte,12,"926,691","2,057,975"
Friedrichshain-Kreuzberg,6,"528,940","1,572,879"
Pankow,8,"516,623","1,952,782"
Charlottenburg-Wilmersdorf,7,"593,574","1,419,015"
Spandau,7,"601,339","1,366,015"
Steglitz-Zehlendorf,6,"598,644","2,143,456"
Tempelhof-Schöneberg,7,"543,409","1,565,512"
Neukölln,4,"393,484","1,442,335"
Treptow-Köpenick,8,"351,997","1,170,322"
Marzahn-Hellersdorf,6,"507,402","1,235,637"
Lichtenberg,4,"479,442","1,581,303"
Reinickendorf,7,"424,593","1,480,990"