district,total_households,single_household,single_household_percentage,couples_without_children,couples_without_children_percentage,couples_with_children,couples_with_children_percentage,single_parents,single_parents_percentage,WG,WG_percentage,only_seniors,only_seniors_percentage,seniors_and_young_adults,seniors_and_young_adults_percentage,owner,owner_percentage,tenant,tenant_percentage,EUR_per_squared_meter,1_person_EUR_per_squared_meter,2_person_EUR_per_squared_meter,3_person_EUR_per_squared_meter,4_person_EUR_per_squared_meter,5_person_EUR_per_squared_meter,6_person_EUR_per_squared_meter,average_rooms,1_person_average_rooms,2_person_average_rooms,3_person_average_rooms,4_person_average_rooms,5_person_average_rooms,6_person_average_rooms,average_person_per_household,average_years_of_residence,avarage_living_space_m2
Mitte, 205 002, 131 301,64.0, 21 302,10.4, 25 130,12.3, 14 416,7.0, 12 849,6.3, 29 794,14.5, 8 327,4.1, 16 074,7.8, 188 835,92.1,8.43,8.61,8.29,8.16,7.84,7.37,7.56,3.0,2.7,3.3,3.6,3.9,4.0,4.1,1.7,11.2,66.91
Friedrichshain-Kreuzberg, 153 287, 97 888,63.9, 15 331,10.0, 17 855,11.6, 12 004,7.8, 10 212,6.7, 17 732,11.6, 5 108,3.3, 13 153,8.6, 140 111,91.4,8.27,8.43,8.18,8.02,7.66,7.26,7.68,3.1,2.8,3.5,3.7,4.0,4.1,4.1,1.7,11.8,67.86
Pankow, 218 848, 122 955,56.2, 33 914,15.5, 34 065,15.6, 19 293,8.8, 8 620,3.9, 37 365,17.1, 8 303,3.8, 35 496,16.2, 183 282,83.7,8.05,8.06,7.86,8.19,8.39,7.98,8.30,3.4,3.0,3.7,4.0,4.4,4.7,4.5,1.8,13.4,73.01
Charlottenburg-Wilmersdorf, 187 477, 120 247,64.1, 25 457,13.6, 22 500,12.0, 11 882,6.3, 7 392,3.9, 49 968,26.7, 10 613,5.7, 31 398,16.7, 156 006,83.2,8.44,8.46,8.31,8.55,8.56,8.33,8.25,3.3,3.0,3.8,4.0,4.4,4.6,4.5,1.7,13.2,77.70
Spandau, 121 144, 62 696,51.8, 22 087,18.2, 20 414,16.9, 11 929,9.8, 4 017,3.3, 30 762,25.4, 7 797,6.4, 22 443,18.5, 98 687,81.5,7.17,7.23,7.05,7.15,7.15,7.05,7.05,3.5,2.9,3.8,4.0,4.4,4.5,4.7,1.9,13.1,74.01
Steglitz-Zehlendorf, 155 286, 82 458,53.1, 30 370,19.6, 25 973,16.7, 11 554,7.4, 4 931,3.2, 46 169,29.7, 10 838,7.0, 42 413,27.3, 112 828,72.7,8.23,8.33,7.98,8.17,8.38,8.30,8.19,3.8,3.2,4.1,4.4,4.9,5.4,5.5,1.9,14.1,85.95
Tempelhof-Schöneberg, 182 430, 105 778,58.0, 28 922,15.9, 27 241,14.9, 13 705,7.5, 6 781,3.7, 45 002,24.7, 10 767,5.9, 31 055,17.0, 151 345,83.0,7.58,7.65,7.41,7.61,7.61,7.39,7.35,3.4,2.9,3.8,4.0,4.3,4.4,4.3,1.8,13.7,73.77
Neukölln, 162 764, 93 451,57.4, 22 703,13.9, 24 215,14.9, 12 446,7.6, 9 946,6.1, 33 202,20.4, 8 957,5.5, 23 779,14.6, 138 969,85.4,7.41,7.48,7.40,7.28,7.07,7.11,7.07,3.3,2.8,3.6,3.9,4.2,4.3,4.4,1.9,13.0,69.82
Treptow-Köpenick, 148 048, 76 944,52.0, 30 912,20.9, 22 552,15.2, 12 899,8.7, 4 739,3.2, 35 233,23.8, 7 711,5.2, 28 302,19.1, 119 720,80.9,7.63,7.74,7.35,7.67,7.65,7.53,7.69,3.5,3.1,3.8,4.1,4.5,4.7,4.5,1.8,15.1,73.37
Marzahn-Hellersdorf, 138 234, 65 892,47.7, 31 850,23.0, 22 065,16.0, 14 321,10.4, 4 106,3.0, 33 619,24.3, 8 854,6.4, 25 563,18.5, 112 662,81.5,6.31,6.54,6.00,6.11,6.05,6.09,6.04,3.6,3.0,4.0,4.3,4.6,4.8,4.9,1.9,15.1,72.72
Lichtenberg, 159 151, 87 517,55.0, 28 507,17.9, 22 364,14.1, 13 998,8.8, 6 762,4.2, 35 216,22.1, 6 663,4.2, 10 637,6.7, 148 503,93.3,7.10,7.35,6.68,6.90,6.91,6.68,7.04,3.4,2.9,3.7,4.1,4.4,4.6,4.6,1.8,14.1,66.23
Reinickendorf, 128 677, 65 714,51.1, 25 821,20.1, 21 710,16.9, 11 292,8.8, 4 145,3.2, 35 451,27.6, 8 592,6.7, 29 315,22.8, 99 341,77.2,7.20,7.32,7.03,7.09,7.02,6.80,6.92,3.7,3.1,4.0,4.3,4.6,4.8,4.9,1.9,14.0,78.04