bezirk,ortsteil,missing_pop,poi_any_null,poi_any_negative,amenity_rich_gt_p95,amenity_rich_lt_p05,supermarket_per_1k_gt_p99,cafes_per_1k_gt_p99,green_space_per_1k_gt_p99,any_flag,total_population,alcohol,animal_training,antiques,art,bar,bathing_place,books,butcher,childcare,clothes,community_centre,confectionery,convenience,deli,dog_park,electronics,fitness_station,florist,fountain,games,garden,greenfield,greengrocer,hairdresser,ice_cream,kiosk,marina,nature_reserve,nightclub,parking,pitch,playground,restaurant,second_hand,stationery,supermarket,theatre,travel_agency,vacant,wine,yes,cafes,bakeries,green_space,schools,medical,alcohol_per_1k,animal_training_per_1k,antiques_per_1k,art_per_1k,bar_per_1k,bathing_place_per_1k,books_per_1k,butcher_per_1k,childcare_per_1k,clothes_per_1k,community_centre_per_1k,confectionery_per_1k,convenience_per_1k,deli_per_1k,dog_park_per_1k,electronics_per_1k,fitness_station_per_1k,florist_per_1k,fountain_per_1k,games_per_1k,garden_per_1k,greenfield_per_1k,greengrocer_per_1k,hairdresser_per_1k,ice_cream_per_1k,kiosk_per_1k,marina_per_1k,nature_reserve_per_1k,nightclub_per_1k,parking_per_1k,pitch_per_1k,playground_per_1k,restaurant_per_1k,second_hand_per_1k,stationery_per_1k,supermarket_per_1k,theatre_per_1k,travel_agency_per_1k,vacant_per_1k,wine_per_1k,yes_per_1k,cafes_per_1k,bakeries_per_1k,green_space_per_1k,schools_per_1k,medical_per_1k
pankow,blankenfelde,False,False,False,True,False,False,False,False,True,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,55,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4859086491739553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4577259475218658,0.4859086491739553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4577259475218658,0.0,26.72497570456754,3.401360544217687,0.0
spandau,falkenhagener feld,False,False,False,False,True,False,False,False,True,38667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,0,0,6,0,0,0,0,0,0,0,93,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051723692037137614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827501487056146,0.28448030620425685,0.0,0.0,0.15517107611141284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.405151679726899,0.5948224584270825,0.12930923009284404
pankow,heinersdorf,False,False,False,False,False,True,False,False,True,7779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,6,0,0,0,0,0,2,0,81,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5426147319706902,0.642756138321121,0.0,0.0,0.7713073659853451,0.0,0.0,0.0,0.0,0.0,0.2571024553284484,0.0,10.41264944080216,0.38565368299267255,0.1285512276642242
reinickendorf,konradshoehe,False,False,False,False,True,False,False,False,True,6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,1,0,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33272334054233904,0.6654466810846781,0.0,0.0,0.33272334054233904,0.0,0.0,0.0,0.0,0.0,0.16636167027116952,0.0,0.9981700216270172,0.8318083513558476,0.16636167027116952
tempelhof-schoeneberg,lichtenrade,False,False,False,False,True,False,False,False,True,52110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,0,0,13,0,0,0,0,0,7,0,117,44,11,0.0,0.0,0.0,0.0,0.019190174630589137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978890807906352,0.5757052389176741,0.0,0.0,0.2494722701976588,0.0,0.0,0.0,0.0,0.0,0.13433122241412396,0.0,2.245250431778929,0.8443676837459221,0.21109192093648052
lichtenberg,malchow,False,False,False,True,False,False,False,False,True,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,19,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.331259720062208,1.5552099533437014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5552099533437014,0.0,29.548989113530325,6.2208398133748055,0.0
mitte,mitte,False,False,False,False,False,False,True,False,True,102338,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,33,0,0,125,573,0,0,52,0,0,0,0,0,281,4,909,103,38,0.0,0.0,0.0,0.0,0.9185248881158514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019543082725869177,0.0,0.009771541362934589,0.009771541362934589,0.009771541362934589,0.009771541362934589,0.0,0.0,0.32246086497684145,0.0,0.0,1.2214426703668237,5.599093200961519,0.0,0.0,0.5081201508725987,0.0,0.0,0.0,0.0,0.0,2.74580312298462,0.039086165451738354,8.882331098907542,1.0064687603822626,0.3713185717915144
reinickendorf,maerkisches viertel,False,False,False,False,True,False,False,False,True,40119,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,70,7,0,0,7,0,0,0,0,0,5,0,21,27,4,0.0,0.0,0.0,0.0,0.049851691218624594,0.0,0.0,0.0,0.0,0.0,0.024925845609312297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049851691218624594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024925845609312297,0.0,0.0,1.7448091926518607,0.17448091926518608,0.0,0.0,0.17448091926518608,0.0,0.0,0.0,0.0,0.0,0.12462922804656149,0.0,0.5234427577955583,0.672997831451432,0.09970338243724919
pankow,stadtrandsiedlung malchow,False,False,False,True,False,False,False,True,True,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,76,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.85714285714286,1.7857142857142858,0.0
mitte,tiergarten,False,False,False,True,False,False,False,False,True,14940,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,64,0,0,4,0,0,0,0,0,32,1,609,18,4,0.0,0.0,0.0,0.0,1.0040160642570282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06693440428380187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13386880856760375,0.0,0.0,1.8741633199464525,4.28380187416332,0.0,0.0,0.2677376171352075,0.0,0.0,0.0,0.0,0.0,2.14190093708166,0.06693440428380187,40.76305220883534,1.2048192771084338,0.2677376171352075
steglitz-zehlendorf,wannsee,False,False,False,True,False,False,False,False,True,10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,23,0,0,4,0,0,0,0,0,6,0,275,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09875567845151097,0.4937783922575548,2.271380604384752,0.0,0.0,0.39502271380604387,0.0,0.0,0.0,0.0,0.0,0.5925340707090657,0.0,27.157811574165514,0.6912897491605767,0.39502271380604387
pankow,wilhelmsruh,False,False,False,False,True,False,False,False,True,8123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,2,0,0,0,0,0,4,0,8,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8617505847593254,0.36932167918256803,0.0,0.0,0.24621445278837867,0.0,0.0,0.0,0.0,0.0,0.49242890557675734,0.0,0.9848578111535147,1.4772867167302721,0.12310722639418933
